input_id	dealiased_id	standard_id	short_id
doi:10.1038/s42256-019-0119-z	doi:10.1038/s42256-019-0119-z	doi:10.1038/s42256-019-0119-z	4sXp2sDw
doi:10.1021/bi201881p	doi:10.1021/bi201881p	doi:10.1021/bi201881p	khOeAdye
doi:10.1039/C5SC01065A	doi:10.1039/C5SC01065A	doi:10.1039/c5sc01065a	78bpCEHk
doi:10.1126/science.aau3744	doi:10.1126/science.aau3744	doi:10.1126/science.aau3744	oOm5j05D
doi:10.1002/anie.202009226	doi:10.1002/anie.202009226	doi:10.1002/anie.202009226	io987fKE
doi:10.1038/nchem.1201	doi:10.1038/nchem.1201	doi:10.1038/nchem.1201	JXKFLH3I
doi:10.1093/protein/gzw026	doi:10.1093/protein/gzw026	doi:10.1093/protein/gzw026	LY9UGI7
doi:10.1021/cr500628b	doi:10.1021/cr500628b	doi:10.1021/cr500628b	5Vxh8hay
doi:10.1021/jacs.7b10660	doi:10.1021/jacs.7b10660	doi:10.1021/jacs.7b10660	nlfa683y
doi:10.1186/1471-2105-8-39	doi:10.1186/1471-2105-8-39	doi:10.1186/1471-2105-8-39	qNdK0F1w
doi:10.1093/bioinformatics/btw396	doi:10.1093/bioinformatics/btw396	doi:10.1093/bioinformatics/btw396	KNmKWbrP
doi	doi	doi	FSDqKxd0
doi:10.1002/prot.22913	doi:10.1002/prot.22913	doi:10.1002/prot.22913	W4f7UG1p
doi:10.1021/acs.jcim.0c00827	doi:10.1021/acs.jcim.0c00827	doi:10.1021/acs.jcim.0c00827	iHxzzTCG
doi:10.1126/science.abj8754	doi:10.1126/science.abj8754	doi:10.1126/science.abj8754	rnu2o8C9
doi:10.1038/s41586-021-03819-2	doi:10.1038/s41586-021-03819-2	doi:10.1038/s41586-021-03819-2	yZfcMIwh
doi:10.1186/s12859-017-1702-0	doi:10.1186/s12859-017-1702-0	doi:10.1186/s12859-017-1702-0	ls5kyxZ3
doi:10.1021/acssynbio.0c00345	doi:10.1021/acssynbio.0c00345	doi:10.1021/acssynbio.0c00345	F7P74Etp
doi:10.1038/s41467-022-28313-9	doi:10.1038/s41467-022-28313-9	doi:10.1038/s41467-022-28313-9	6szq3cwi
doi:10.1093/bioinformatics/bty813	doi:10.1093/bioinformatics/bty813	doi:10.1093/bioinformatics/bty813	SGggOw7Z
doi:10.1038/s41467-021-27396-0	doi:10.1038/s41467-021-27396-0	doi:10.1038/s41467-021-27396-0	q224Kv8w
doi:10.1038/s41592-019-0666-6	doi:10.1038/s41592-019-0666-6	doi:10.1038/s41592-019-0666-6	yBhqGkBa
doi:10.1093/bioinformatics/btx350	doi:10.1093/bioinformatics/btx350	doi:10.1093/bioinformatics/btx350	Gq7n6vhH
doi:10.1093/bioinformatics/bty583	doi:10.1093/bioinformatics/bty583	doi:10.1093/bioinformatics/bty583	mVGaXlum
doi:10.48550/arXiv.2202.05146	doi:10.48550/arXiv.2202.05146	doi:10.48550/arxiv.2202.05146	13hjzBbje
doi:10.1371/journal.pcbi.1008291	doi:10.1371/journal.pcbi.1008291	doi:10.1371/journal.pcbi.1008291	9K88m3YT
doi:10.1371/journal.pone.0039252	doi:10.1371/journal.pone.0039252	doi:10.1371/journal.pone.0039252	k859wJxx
doi:10.1021/acs.jcim.6b00407	doi:10.1021/acs.jcim.6b00407	doi:10.1021/acs.jcim.6b00407	1HMhB3vxM
doi:10.1093/nar/28.1.235	doi:10.1093/nar/28.1.235	doi:10.1093/nar/28.1.235	8cYXwVxI
doi:10.1038/nbt.3988	doi:10.1038/nbt.3988	doi:10.1038/nbt.3988	jj6qOofE
doi:10.1038/s41598-017-16777-5	doi:10.1038/s41598-017-16777-5	doi:10.1038/s41598-017-16777-5	FB5cckAJ
pmid:3736419	pmid:3736419	pubmed:3736419	NifwNdQd
doi:10.1016/j.csbj.2020.02.001	doi:10.1016/j.csbj.2020.02.001	doi:10.1016/j.csbj.2020.02.001	1CAeUobT4
doi:10.1002/prot.25081	doi:10.1002/prot.25081	doi:10.1002/prot.25081	10C4imKQR
doi:10.1371/journal.pone.0172743	doi:10.1371/journal.pone.0172743	doi:10.1371/journal.pone.0172743	izkvZoLX
doi:10.21105/joss.00279	doi:10.21105/joss.00279	doi:10.21105/joss.00279	CcRTAd7h
doi:10.1021/acs.jctc.6b00049	doi:10.1021/acs.jctc.6b00049	doi:10.1021/acs.jctc.6b00049	q2gxO5bP
doi:10.1007/s10479-005-5724-z	doi:10.1007/s10479-005-5724-z	doi:10.1007/s10479-005-5724-z	hchMCnC1
doi:10.1021/bi00255a003	doi:10.1021/bi00255a003	doi:10.1021/bi00255a003	D3VQQdjb
doi:10.1021/ja00079a046	doi:10.1021/ja00079a046	doi:10.1021/ja00079a046	w3tzhp92
doi:10.1021/bi00089a005	doi:10.1021/bi00089a005	doi:10.1021/bi00089a005	iu33cNMg
doi:10.1073/pnas.92.11.5017	doi:10.1073/pnas.92.11.5017	doi:10.1073/pnas.92.11.5017	148Si7kTL
doi:10.1021/bi9526692	doi:10.1021/bi9526692	doi:10.1021/bi9526692	TNbPH3Y1
2cbastructurepaper	doi:10.1016/0022-2836(92)90531-N	doi:10.1016/0022-2836(92)90531-n	WjHESl20
doi:10.2210/pdb2CBA/pdb	doi:10.2210/pdb2CBA/pdb	doi:10.2210/pdb2cba/pdb	jyFnBdWm
pmid:11106157	pmid:11106157	pubmed:11106157	pchdLF0k
pmid:10861930	pmid:10861930	pubmed:10861930	Mg40Hdad
doi:10.1101/2021.11.26.470110	doi:10.1101/2021.11.26.470110	doi:10.1101/2021.11.26.470110	13fLqNwbD
doi:10.1021/ic401072d	doi:10.1021/ic401072d	doi:10.1021/ic401072d	Wt0ducot
doi:10.48550/arXiv.2102.09844	doi:10.48550/arXiv.2102.09844	doi:10.48550/arxiv.2102.09844	Fc42fl1x
doi:10.1101/2021.12.22.473759	doi:10.1101/2021.12.22.473759	doi:10.1101/2021.12.22.473759	cbwvbkS6
doi:10.1038/s41598-018-34533-1	doi:10.1038/s41598-018-34533-1	doi:10.1038/s41598-018-34533-1	Gj0pG9O5
doi:10.1021/ic301645j	doi:10.1021/ic301645j	doi:10.1021/ic301645j	TlDhIlX
doi:10.1021/cr800556u	doi:10.1021/cr800556u	doi:10.1021/cr800556u	VzsHhBSh
doi:10.1126/science.8346440	doi:10.1126/science.8346440	doi:10.1126/science.8346440	RJ44nj3R
doi:10.1126/science.1648261	doi:10.1126/science.1648261	doi:10.1126/science.1648261	15drt0nXZ
doi:10.1038/nsb723	doi:10.1038/nsb723	doi:10.1038/nsb723	85PeY3aG
